,Date,Open,High,Low,Close,Volume,score,cont_len,compound_score,final_tag,target value,year,month,day
171,2012-12-27,1419.83,1422.8,1401.8,1418.1,445660096.0,4,53,0.0,neutral,0,2012,12,27
172,2012-12-28,1418.1,1418.1,1401.58,1402.43,411216000.0,0,288,-0.71,negative,0,2012,12,28
173,2012-12-31,1402.43,1426.74,1398.11,1426.19,601105600.0,1,80,-0.4,negative,1,2012,12,31
174,2013-02-01,1426.19,1462.43,1426.19,1462.42,680468928.0,2,686,-0.28,negative,1,2013,2,1
175,2013-03-01,1462.42,1465.47,1455.53,1459.37,576168384.0,1,131,0.34,positive,0,2013,3,1
176,2013-04-01,1459.37,1467.94,1458.99,1466.47,499318208.0,-1,135,-0.68,negative,1,2013,4,1
177,2013-07-01,1466.47,1466.47,1456.62,1461.89,490281888.0,4,257,0.65,positive,0,2013,7,1
178,2013-08-01,1461.89,1461.89,1451.64,1457.15,546030208.0,1,143,0.22,positive,0,2013,8,1
179,2013-09-01,1457.15,1464.73,1457.15,1461.02,507352384.0,1,208,-0.54,negative,1,2013,9,1
180,2013-10-01,1461.02,1472.3,1461.02,1472.12,569101568.0,5,481,0.91,positive,1,2013,10,1
181,2013-11-01,1472.12,1472.75,1467.58,1472.05,488474688.0,1,38,-0.38,negative,0,2013,11,1
182,2013-01-15,1470.67,1473.31,1463.76,1472.34,483929792.0,1,851,0.23,positive,1,2013,1,15
183,2013-01-16,1472.33,1473.96,1467.6,1472.63,513146688.0,1,170,-0.26,negative,1,2013,1,16
184,2013-01-17,1472.63,1485.16,1472.63,1480.94,604124224.0,4,43,0.57,positive,1,2013,1,17
185,2013-01-18,1480.95,1485.98,1475.81,1485.98,930380416.0,2,62,-0.51,negative,1,2013,1,18
186,2013-01-22,1485.98,1492.56,1481.16,1492.56,569950400.0,2,81,-0.3,negative,1,2013,1,22
187,2013-01-23,1492.56,1496.13,1489.9,1494.81,494336384.0,1,184,-0.71,negative,1,2013,1,23
188,2013-01-24,1494.81,1502.27,1489.46,1494.82,554969600.0,1,69,0.36,positive,1,2013,1,24
189,2013-01-25,1494.82,1503.26,1494.82,1502.96,570690816.0,0,58,0.11,positive,1,2013,1,25
190,2013-01-28,1502.96,1503.23,1496.33,1500.18,535161312.0,1,61,0.36,positive,0,2013,1,28
191,2013-01-29,1500.18,1509.35,1498.09,1507.84,607226816.0,2,184,0.66,positive,1,2013,1,29
192,2013-01-30,1507.84,1509.94,1500.11,1501.96,569791872.0,1,259,0.8,positive,0,2013,1,30
193,2013-01-31,1501.96,1504.19,1496.76,1498.11,740722880.0,2,20,0.0,neutral,0,2013,1,31
194,2013-04-02,1513.17,1513.17,1495.02,1495.71,584697216.0,1,69,0.44,positive,0,2013,4,2
195,2013-05-02,1495.71,1514.96,1495.71,1511.29,587275072.0,1,116,0.23,positive,1,2013,5,2
196,2013-06-02,1511.29,1512.53,1504.71,1512.12,556294272.0,3,333,-0.89,negative,1,2013,6,2
197,2013-07-02,1512.12,1512.9,1498.49,1509.39,553191104.0,1,290,-0.88,negative,0,2013,7,2
198,2013-08-02,1509.39,1518.31,1509.39,1517.93,477527392.0,2,54,-0.3,negative,1,2013,8,2
199,2013-11-02,1517.93,1518.31,1513.61,1517.01,400159904.0,1,315,0.78,positive,0,2013,11,2
200,2013-12-02,1517.01,1522.29,1515.61,1519.43,489501408.0,2,75,-0.2,negative,1,2013,12,2
201,2013-02-13,1519.43,1524.69,1515.93,1520.33,513566784.0,0,215,0.26,positive,1,2013,2,13
202,2013-02-14,1520.33,1523.14,1514.02,1521.38,533981184.0,3,39,0.73,positive,1,2013,2,14
203,2013-02-15,1521.38,1524.24,1514.14,1519.79,811687616.0,2,122,0.4,positive,0,2013,2,15
204,2013-02-19,1519.79,1530.94,1519.79,1530.94,571763072.0,1,18,0.0,neutral,1,2013,2,19
205,2013-02-20,1530.94,1530.94,1511.41,1511.95,594170816.0,1,130,-0.77,negative,0,2013,2,20
206,2013-02-21,1511.95,1511.95,1497.29,1502.42,599309824.0,1,41,0.53,positive,0,2013,2,21
207,2013-02-22,1502.42,1515.64,1502.42,1515.6,515547200.0,1,33,0.0,neutral,1,2013,2,22
208,2013-02-25,1515.6,1525.84,1487.85,1487.85,637253824.0,1,715,0.62,positive,0,2013,2,25
209,2013-02-26,1487.85,1498.99,1485.01,1496.94,579446720.0,1,162,0.0,neutral,1,2013,2,26
210,2013-02-28,1515.99,1525.34,1514.46,1514.68,748922880.0,2,1570,-0.86,negative,0,2013,2,28
211,2013-04-03,1518.2,1525.27,1512.29,1525.2,513849664.0,-2,262,0.74,positive,1,2013,4,3
212,2013-05-03,1525.2,1543.47,1525.2,1539.79,522751872.0,2,230,0.05,positive,1,2013,5,3
213,2013-06-03,1539.79,1545.25,1538.11,1541.46,502355712.0,1,61,-0.15,negative,1,2013,6,3
214,2013-07-03,1541.46,1545.78,1541.46,1544.26,498992384.0,1,210,0.0,neutral,1,2013,7,3
215,2013-08-03,1544.26,1552.48,1542.94,1551.18,487435904.0,3,19,0.32,positive,1,2013,8,3
216,2013-11-03,1551.15,1556.27,1547.36,1556.22,450470304.0,1,73,0.26,positive,1,2013,11,3
217,2013-12-03,1556.22,1556.77,1548.24,1552.48,466648288.0,1,79,0.49,positive,0,2013,12,3
218,2013-03-13,1552.48,1556.39,1548.25,1554.52,420973952.0,-2,192,0.3,positive,1,2013,3,13
219,2013-03-14,1554.52,1563.32,1554.52,1563.23,504222144.0,1,79,0.8,positive,1,2013,3,14
220,2013-03-15,1563.21,1563.62,1555.74,1560.7,1447565312.0,1,53,0.66,positive,0,2013,3,15
221,2013-03-18,1560.7,1560.7,1545.13,1552.1,507141280.0,1,6,0.0,neutral,0,2013,3,18
222,2013-03-19,1552.1,1557.25,1538.57,1548.34,544881984.0,20,69,0.42,positive,0,2013,3,19
223,2013-03-20,1548.34,1561.56,1548.34,1558.71,515015072.0,1,35,0.36,positive,1,2013,3,20
224,2013-03-21,1558.71,1558.71,1543.55,1545.8,524169408.0,1,1074,-0.36,negative,0,2013,3,21
225,2013-03-22,1545.9,1557.74,1545.9,1556.89,505786400.0,1,41,0.46,positive,1,2013,3,22
226,2013-03-25,1556.89,1564.91,1546.22,1551.69,540532352.0,1,29,0.66,positive,0,2013,3,25
227,2013-03-26,1551.69,1563.95,1551.69,1563.77,417852192.0,1,27,0.0,neutral,1,2013,3,26
228,2013-03-27,1563.75,1564.07,1551.9,1562.85,418415424.0,1,7,-0.3,negative,0,2013,3,27
229,2013-03-28,1562.86,1570.28,1561.08,1569.19,673190912.0,1,384,-0.21,negative,1,2013,3,28
230,2013-01-04,1569.18,1570.57,1558.47,1562.17,422775552.0,1,65,0.59,positive,0,2013,1,4
231,2013-02-04,1562.17,1573.66,1562.17,1570.25,473640320.0,-3,8,-0.54,negative,1,2013,2,4
232,2013-03-04,1570.25,1571.47,1549.8,1553.69,587850944.0,1,99,0.44,positive,0,2013,3,4
233,2013-04-04,1553.69,1562.6,1552.52,1559.98,481445376.0,1,308,0.42,positive,1,2013,4,4
234,2013-05-04,1559.98,1559.98,1539.5,1553.28,558288704.0,0,16,0.0,neutral,0,2013,5,4
235,2013-09-04,1563.11,1573.89,1560.92,1568.61,521582048.0,1,62,0.0,neutral,1,2013,9,4
236,2013-10-04,1568.61,1589.07,1568.61,1587.73,524612448.0,1,132,0.0,neutral,1,2013,10,4
237,2013-11-04,1587.73,1597.35,1586.17,1593.37,530718944.0,1,153,0.61,positive,1,2013,11,4
238,2013-12-04,1593.3,1593.3,1579.97,1588.85,538931392.0,2,170,-0.46,negative,0,2013,12,4
239,2013-04-15,1588.84,1588.84,1552.28,1552.36,725229120.0,1,58,0.34,positive,0,2013,4,15
240,2013-04-16,1552.36,1575.35,1552.36,1574.57,572293824.0,0,100,0.19,positive,1,2013,4,16
241,2013-04-17,1574.57,1574.57,1543.69,1552.01,708085120.0,2,348,-0.92,negative,0,2013,4,17
242,2013-04-18,1552.03,1554.38,1536.03,1541.61,635698176.0,1,41,0.0,neutral,0,2013,4,18
243,2013-04-19,1541.61,1555.89,1539.4,1555.25,790566336.0,2,105,0.87,positive,1,2013,4,19
244,2013-04-22,1555.25,1565.55,1548.19,1562.5,520923456.0,1,32,0.0,neutral,1,2013,4,22
245,2013-04-23,1562.5,1579.58,1562.5,1578.78,555077120.0,1,90,0.0,neutral,1,2013,4,23
246,2013-04-24,1578.78,1583.0,1575.8,1578.79,574951040.0,1,298,0.42,positive,1,2013,4,24
